location,Year,Month,Tmax,Tmin,RH,Wind Speed,Rainfall
Paro,2000,1,9.5,-0.4,65,0.26,0
Paro,2000,2,10.6,2,65,0.52,0
Paro,2000,3,14.5,4,69,0.52,11
Paro,2000,4,19.6,8.7,77,0.42,23.4
Paro,2000,5,22.5,10.2,77,0.24,98.4
Paro,2000,6,24.8,15.2,69,0.33,43
Paro,2000,7,23.5,19.7,81,0.13,108.5
Paro,2000,8,23.6,19.2,76,0.51,84.3
Paro,2000,9,23.3,16.5,72,0.15,74.8
Paro,2000,10,22.8,12,58,0.17,0
Paro,2000,11,19,8.2,67,0.24,0
Paro,2000,12,15.3,3.4,70,0.21,0
Paro,2001,1,14.3,5,69,0.32,0
Paro,2001,2,15.8,5.5,63,0.38,0
Paro,2001,3,17,6.8,57,0.38,0
Paro,2001,4,19.7,10.7,60,0.37,0
Paro,2001,5,21.7,15.8,64,0.36,68.2
Paro,2001,6,25.2,19,69,0.42,0
Paro,2001,7,25.7,19.8,75,0.29,117.4
Paro,2001,8,25.1,20.2,77,0.23,85.7
Paro,2001,9,21.4,18.2,77,0.11,90.2
Paro,2001,10,20.6,13,68,0.2,57.8
Paro,2001,11,10.5,7.2,63,0.2,0
Paro,2001,12,14.1,4.1,70,0.27,0
Paro,2002,1,14.3,4.4,65,0.18,0
Paro,2002,2,16.1,5,61,0.41,0
Paro,2002,3,17.3,8,60,0.5,0
Paro,2002,4,19.3,11.7,66,0.52,37.6
Paro,2002,5,22,13.5,68,0.3,28.6
Paro,2002,6,23.8,18.3,69,0.22,95.8
Paro,2002,7,24.2,20.1,79,0.32,113.4
Paro,2002,8,23.7,19.2,76,0.22,87
Paro,2002,9,21.6,16.8,78,0.11,36
Paro,2002,10,20.8,13,67,0.22,17.6
Paro,2002,11,14.9,7.6,61,0.14,0
Paro,2002,12,14.5,5,68,0.66,0
Paro,2003,1,14.5,2.2,68,0.22,12
Paro,2003,2,11.6,4.1,74,0.34,52.1
Paro,2003,3,17,7.5,59,0.31,2
Paro,2003,4,20,11.1,62,0.29,20.2
Paro,2003,5,22.3,13.7,61,0.23,58
Paro,2003,6,23.6,17.2,73,0.15,104.6
Paro,2003,7,23.8,19.2,78,0.12,147.1
Paro,2003,8,26.1,20.4,75,0.56,76
Paro,2003,9,24,18.1,78,0.35,104.4
Paro,2003,10,21.9,13.2,67,0.1,81
Paro,2003,11,17.1,9,67,0.1,0
Paro,2003,12,12.7,4.7,65,0.31,0
Paro,2004,1,14.1,4.4,65,0.13,0
Paro,2004,2,14.3,3.3,67,0.28,42
Paro,2004,3,19.5,9.8,72,0.3,14.9
Paro,2004,4,20,12.2,69,0.2,23.3
Paro,2004,5,21.3,15,77,0.3,70.1
Paro,2004,6,24.4,18.2,73,0.46,59.4
Paro,2004,7,27.9,19.6,80,1.03,87.3
Paro,2004,8,26.1,19.2,76,0.81,103.6
Paro,2004,9,24.4,18.5,74,0.76,68.1
Paro,2004,10,14.5,11.7,71,1,58.7
Paro,2004,11,9.6,7.3,62,0.87,0
Paro,2004,12,10.6,2.4,68,0.69,0
Paro,2005,1,11.9,-0.1,76,0.74,40.1
Paro,2005,2,13.7,3,70,1.19,5.9
Paro,2005,3,16.1,7.3,73,1.52,24.8
Paro,2005,4,17.6,7.9,74,1.24,32.8
Paro,2005,5,19.9,12.7,78,1.34,25.5
Paro,2005,6,23.3,15.9,68,1.08,55
Paro,2005,7,22.8,16.6,81,0.85,98
Paro,2005,8,24.5,16.6,77,0.68,124.4
Paro,2005,9,25.7,13.4,74,0.79,99.2
Paro,2005,10,19.1,10.5,75,0.65,156.4
Paro,2005,11,17.7,4.8,63,0.75,0
Paro,2005,12,17.1,-1.6,59,0.64,0
Paro,2006,1,17.7,-2.5,61,0.79,0
Paro,2006,2,18.4,2.3,63,1.11,7.6
Paro,2006,3,18.1,2,62,1.22,29.7
Paro,2006,4,20.5,5.2,61,1.15,55.5
Paro,2006,5,23.6,11.1,64,1.08,28.5
Paro,2006,6,25.1,13.1,68,1.06,30.9
Paro,2006,7,27.3,14.5,75,1,114.8
Paro,2006,8,26.6,13.6,72,0.87,115
Paro,2006,9,23.7,12.2,78,0.71,97.6
Paro,2006,10,21.1,6.6,71,0.83,29.5
Paro,2006,11,17.2,2.9,73,0.73,27.3
Paro,2006,12,15.7,-0.1,70,0.69,2.1
Paro,2007,1,14.9,-2.5,68,0.85,0
Paro,2007,2,13.7,0.2,70,0.86,48.7
Paro,2007,3,18.6,2.4,60,1.25,16.5
Paro,2007,4,22.7,6.5,60,1.2,14.7
Paro,2007,5,25.5,10.5,61,1.19,32.2
Paro,2007,6,26.1,13.1,65,1.07,50
Paro,2007,7,25.6,14.2,77,0.85,115.5
Paro,2007,8,26.5,13.8,76,0.88,60.2
Paro,2007,9,23.3,12.5,80,0.59,111.4
Paro,2007,10,21.7,8.4,71,0.92,5.6
Paro,2007,11,18.5,2,67,0.79,0
Paro,2007,12,16,-0.6,59,0.74,0
Paro,2008,1,14.7,-3.4,63,1.06,31.2
Paro,2008,2,11.7,-3.2,54,1.18,0
Paro,2008,3,19.2,3.3,63,1.23,29.98
Paro,2008,4,21.4,6.2,68,1.3,29.4
Paro,2008,5,23.3,8.8,59,1.27,69
Paro,2008,6,24.9,13.1,73,0.84,121.2
Paro,2008,7,25.7,13.8,81,0.75,160.8
Paro,2008,8,24.4,14,87,0.65,146.68
Paro,2008,9,23.4,12.9,82,0.71,55.2
Paro,2008,10,22.5,6.3,71,0.65,38.5
